Creation Time: 2023_6_14-16-59-6
16-59-6 | [INFO] TraderPlusCore - Started !
16-59-6 | [INFO] TraderPlus file exist ! loading...
16-59-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
16-59-6 | [INFO] TraderPlus file exist ! loading...
16-59-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
16-59-6 | [INFO] TraderPlus file exist ! loading...
16-59-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
16-59-6 | [INFO] TraderPlusServer - Started
16-59-6 | [INFO] TraderPlusBankingCore - Started !
16-59-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
16-59-6 | [INFO] TraderPlusBankingServer - Started
16-59-6 | [INFO] CarLockCore - Started !
16-59-6 | [INFO] CarLockServer - Started
16-59-9 | [INFO] SafeZoneCore - Started !
16-59-9 | [INFO] DEBUG MODE ENABLED
17-0-1 | [INFO] ID_count: 0
17-0-1 | [INFO] SetTradersSpawner: Started
17-0-1 | [INFO] obj created: TraderPlusSign
17-0-1 | [INFO] TraderStatic created and added!: 
17-0-1 | [INFO] obj created: TraderPlusSign
17-0-1 | [INFO] TraderStatic created and added!: 
17-0-1 | [INFO] obj created: TraderPlusSign
17-0-1 | [INFO] TraderStatic created and added!: 
17-0-1 | [INFO] obj created: TraderPlusSign
17-0-1 | [INFO] TraderStatic created and added!: 
17-0-1 | [INFO] obj created: TraderPlusSign
17-0-1 | [INFO] TraderStatic created and added!: 
17-0-1 | [INFO] SetTradersSpawner: Ended
17-0-1 | [INFO] SetObjectSpawner: Started
17-0-1 | [INFO] SetObjectSpawner: Ended
17-0-1 | [INFO] DefaultTraderStock - Started
